file,line,severity,pattern,description
.github/workflows/agent-performance-analyzer.lock.yml,1340,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/ai-moderator.lock.yml,818,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/archie.lock.yml,894,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/artifacts-summary.lock.yml,724,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/audit-workflows.lock.yml,1122,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/blog-auditor.lock.yml,1028,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/brave.lock.yml,797,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/breaking-change-checker.lock.yml,845,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/campaign-generator.lock.yml,1346,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/changeset.lock.yml,1411,Informational,Other,code injection via template expansion
.github/workflows/changeset.lock.yml,960,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/ci-coach.lock.yml,1395,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/ci-doctor.lock.yml,922,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/cli-consistency-checker.lock.yml,832,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/cli-version-checker.lock.yml,1142,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/cloclo.lock.yml,1228,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/code-scanning-fixer.lock.yml,864,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/code-simplifier.lock.yml,649,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/commit-changes-analyzer.lock.yml,937,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/copilot-agent-analysis.lock.yml,1361,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/copilot-pr-merged-report.lock.yml,912,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/copilot-pr-nlp-analysis.lock.yml,1576,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/copilot-pr-prompt-analysis.lock.yml,1092,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/copilot-session-insights.lock.yml,1895,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/craft.lock.yml,969,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-assign-issue-to-user.lock.yml,670,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-choice-test.lock.yml,657,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-cli-performance.lock.yml,1306,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-code-metrics.lock.yml,1599,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-compiler-quality.lock.yml,1311,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-copilot-token-report.lock.yml,1688,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-doc-updater.lock.yml,917,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-fact.lock.yml,668,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-file-diet.lock.yml,917,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-firewall-report.lock.yml,1151,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-issues-report.lock.yml,1754,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-malicious-code-scan.lock.yml,982,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-multi-device-docs-tester.lock.yml,912,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-news.lock.yml,1558,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-performance-summary.lock.yml,1707,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-repo-chronicle.lock.yml,1349,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-secrets-analysis.lock.yml,997,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-team-status.lock.yml,753,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-testify-uber-super-expert.lock.yml,1220,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/daily-workflow-updater.lock.yml,815,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/deep-report.lock.yml,1325,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/dependabot-go-checker.lock.yml,1117,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/dev-hawk.lock.yml,910,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/developer-docs-consolidator.lock.yml,1441,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/dictation-prompt.lock.yml,714,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/discussion-task-miner.lock.yml,1105,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/discussion-task-mining.campaign.lock.yml,1535,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/docs-noob-tester.lock.yml,845,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/docs-quality-maintenance-project67.campaign.lock.yml,1545,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/duplicate-code-detector.lock.yml,919,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/example-custom-error-patterns.lock.yml,400,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/example-permissions-warning.lock.yml,398,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/example-workflow-analyzer.lock.yml,729,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/file-size-reduction-project71.campaign.lock.yml,1542,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/firewall-escape.lock.yml,1029,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/firewall.lock.yml,432,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/github-mcp-structural-analysis.lock.yml,1406,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/github-mcp-tools-report.lock.yml,1284,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/github-remote-mcp-auth-test.lock.yml,733,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/glossary-maintainer.lock.yml,1486,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/go-fan.lock.yml,1060,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/go-logger.lock.yml,1016,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/go-pattern-detector.lock.yml,865,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/grumpy-reviewer.lock.yml,907,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/hourly-ci-cleaner.lock.yml,1024,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/instructions-janitor.lock.yml,896,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/issue-arborist.lock.yml,981,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/issue-classifier.lock.yml,652,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/issue-monster.lock.yml,862,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/issue-triage-agent.lock.yml,646,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/jsweep.lock.yml,950,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/layout-spec-maintainer.lock.yml,936,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/lockfile-stats.lock.yml,1080,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/mcp-inspector.lock.yml,1273,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/mcp-inspector.lock.yml,438,Low,Start MCP Gateway,code injection via template expansion
.github/workflows/mergefest.lock.yml,1005,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/metrics-collector.lock.yml,716,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/notion-issue-summary.lock.yml,610,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/org-health-report.lock.yml,1510,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/pdf-summary.lock.yml,896,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/plan.lock.yml,946,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/playground-assign-to-agent.lock.yml,637,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/playground-org-project-update-issue.lock.yml,706,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/playground-snapshots-refresh.lock.yml,662,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/poem-bot.lock.yml,1298,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/portfolio-analyst.lock.yml,1469,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/pr-nitpick-reviewer.lock.yml,1221,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/prompt-clustering-analysis.lock.yml,1501,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/python-data-charts.lock.yml,1755,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/q.lock.yml,1237,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/release.lock.yml,783,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/repo-tree-map.lock.yml,748,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/repository-quality-improver.lock.yml,1248,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/research.lock.yml,705,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/safe-output-health.lock.yml,1206,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/schema-consistency-checker.lock.yml,1060,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/scout.lock.yml,1141,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/security-compliance.lock.yml,966,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/security-fix-pr.lock.yml,857,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/semantic-function-refactor.lock.yml,1209,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/slide-deck-maintainer.lock.yml,971,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/smoke-claude.lock.yml,1183,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/smoke-codex.lock.yml,1066,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/smoke-copilot.lock.yml,839,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/stale-repo-identifier.lock.yml,1475,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/static-analysis-report.lock.yml,1118,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/step-name-alignment.lock.yml,1145,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/sub-issue-closer.lock.yml,792,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/super-linter.lock.yml,845,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/technical-doc-writer.lock.yml,1374,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/terminal-stylist.lock.yml,762,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/tidy.lock.yml,833,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/typist.lock.yml,1198,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/ubuntu-image-analyzer.lock.yml,1122,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/unbloat-docs.lock.yml,1194,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/video-analyzer.lock.yml,961,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/weekly-issue-summary.lock.yml,1280,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/workflow-generator.lock.yml,788,Informational,Stop MCP Gateway,code injection via template expansion
.github/workflows/workflow-health-manager.lock.yml,1199,Informational,Stop MCP Gateway,code injection via template expansion
